X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23
D	FA	4,46	1,54	0,23	1,86	15	34,9	3,20	0,37	3,00	0,35	0,29	0,34	17,30	13,72	161,18	165,28	39,74	240,70	14,41	v344	FC
D	FA	3,77	3,19	0,25	2,40	16	38,0	3,63	0,35	3,01	0,35	0,31	0,36	16,26	14,38	160,32	165,26	39,01	237,74	14,39	v344	FC
D	FA	5,45	2,28	0,24	2,02	17	40,1	3,66	0,35	3,02	0,34	0,29	0,34	14,07	14,62	159,67	163,71	42,19	241,46	14,39	v344	FC
D	FA	4,84	3,16	0,25	1,97	17	41,2	2,67	0,36	2,99	0,35	0,28	0,34	17,15	13,29	159,65	164,90	39,48	240,50	14,41	v344	FC
D	FA	4,10	2,28	0,26	0,64	16	37,5	3,59	0,36	3,00	0,35	0,30	0,36	16,97	15,67	157,85	164,95	37,73	239,93	14,39	v344	FC
D	FA	4,77	1,09	0,26	2,18	14	32,7	3,53	0,35	3,00	0,34	0,30	0,35	15,27	14,58	160,06	164,13	39,26	241,77	14,41	v344	FC
D	FA	5,99	0,66	0,24	1,82	15	36,2	3,89	0,35	3,00	0,35	0,31	0,36	15,26	11,98	158,58	163,25	41,63	242,95	14,40	v344	FC
D	FA	3,89	1,30	0,25	1,15	14	34,1	3,95	0,34	3,00	0,36	0,29	0,34	13,60	14,40	161,19	167,63	41,32	240,45	14,42	v344	FC
D	FA	4,91	4,92	0,26	2,95	17	40,3	3,85	0,35	3,01	0,35	0,31	0,37	15,34	17,40	160,57	163,09	39,19	240,46	14,41	v344	FC
D	FA	2,21	2,82	0,23	1,95	15	36,2	2,83	0,35	2,98	0,37	0,30	0,36	15,15	14,45	161,67	163,34	41,15	238,18	14,39	v344	FC
D	FA	3,04	2,45	0,25	0,80	16	39,2	3,09	0,34	3,00	0,34	0,30	0,36	14,99	15,13	161,12	164,09	38,40	240,55	14,41	v344	FC
D	FA	3,61	3,02	0,25	1,68	14	33,5	4,49	0,32	3,00	0,34	0,31	0,34	15,21	15,65	159,85	166,19	40,37	242,81	14,39	v344	FC
D	FA	4,03	3,13	0,27	1,96	17	40,6	3,36	0,36	3,00	0,37	0,29	0,36	14,84	16,04	160,16	164,15	39,91	240,39	14,41	v344	FC
D	FA	3,85	4,47	0,26	1,76	15	36,7	4,64	0,36	3,00	0,35	0,30	0,36	15,28	17,51	159,97	165,60	38,89	240,49	14,39	v344	FC
D	FA	5,04	2,28	0,24	2,98	15	35,6	2,88	0,36	3,01	0,35	0,30	0,34	14,33	15,37	161,18	165,82	41,45	239,90	14,38	v344	FC
D	FA	3,43	3,45	0,24	1,61	16	39,6	3,48	0,35	3,01	0,34	0,29	0,35	14,62	17,65	159,33	166,28	39,81	241,00	14,40	v344	FC
D	FA	3,14	1,46	0,26	1,93	17	39,6	3,29	0,35	2,99	0,34	0,30	0,34	12,81	14,53	160,78	164,26	39,22	240,42	14,38	v344	FC
D	FA	3,20	1,77	0,24	2,36	14	33,0	3,15	0,35	2,99	0,34	0,31	0,36	15,71	15,83	160,64	165,26	38,90	239,23	14,40	v344	FC
D	FA	2,67	0,81	0,25	1,89	12	28,6	4,55	0,34	3,02	0,36	0,29	0,36	15,92	15,29	160,64	164,51	39,18	238,52	14,42	v344	FC
D	FA	4,42	2,61	0,26	1,89	15	35,8	3,85	0,35	3,01	0,36	0,29	0,35	13,88	13,36	160,32	167,41	41,35	239,47	14,40	v344	FC
D	FA	1,51	1,07	0,25	2,52	13	31,1	3,31	0,35	3,01	0,36	0,29	0,35	13,43	15,49	159,75	165,56	41,54	242,53	14,40	v344	FC
D	FA	4,52	2,02	0,26	0,95	13	31,8	4,22	0,35	3,01	0,36	0,30	0,33	15,13	16,61	161,02	163,76	41,01	241,03	14,42	v344	FC
D	FA	4,24	2,34	0,26	2,40	15	37,1	2,80	0,36	3,00	0,34	0,30	0,34	14,51	14,55	159,38	165,19	42,23	240,49	14,41	v344	FC
D	FA	3,95	2,01	0,25	1,26	15	35,8	3,27	0,34	3,01	0,34	0,28	0,35	13,65	14,47	159,09	163,31	39,66	242,46	14,42	v344	FC
D	FA	3,76	2,95	0,23	1,31	15	36,8	3,66	0,35	3,00	0,37	0,30	0,36	14,66	18,40	158,39	163,56	41,92	241,17	14,39	v344	FC
D	FA	4,26	2,11	0,24	1,31	15	35,0	3,46	0,38	3,00	0,37	0,31	0,36	14,57	16,12	159,89	164,25	39,24	241,69	14,37	v344	FC
D	FA	4,57	2,07	0,25	1,21	15	36,5	3,76	0,36	2,99	0,35	0,30	0,33	15,38	16,99	159,97	164,88	39,41	241,10	14,40	v344	FC
D	FA	4,98	2,46	0,26	1,42	16	37,8	3,41	0,35	2,98	0,33	0,29	0,34	14,06	16,74	161,81	167,03	40,91	240,68	14,41	v344	FC
D	FA	3,78	2,75	0,25	1,24	14	32,7	3,28	0,35	3,00	0,35	0,32	0,34	12,36	14,72	160,99	165,51	40,92	240,28	14,41	v344	FC
D	FA	4,20	3,48	0,24	1,91	15	34,9	3,33	0,36	3,02	0,33	0,30	0,35	15,09	16,33	159,57	166,40	40,03	241,35	14,39	v344	FC
D	FA	4,46	2,31	0,25	1,86	15	35,2	3,46	0,35	2,99	0,33	0,29	0,35	15,54	17,38	159,46	164,66	38,79	241,36	14,42	v344	FC
D	FA	2,11	0,81	0,26	2,09	15	36,5	2,59	0,36	3,00	0,34	0,27	0,36	14,61	15,31	161,30	165,41	41,08	240,59	14,39	v344	FC
D	FA	4,61	1,72	0,24	2,87	14	34,3	4,29	0,35	2,99	0,35	0,29	0,35	14,23	16,44	161,82	165,11	39,44	242,39	14,40	v344	FC
D	FA	4,81	2,86	0,25	1,93	13	32,0	2,93	0,35	3,00	0,34	0,30	0,35	14,35	13,82	160,65	163,93	38,59	241,65	14,39	v344	FC
D	FA	3,73	0,81	0,27	1,36	16	37,3	3,37	0,34	3,00	0,35	0,31	0,33	14,06	14,80	159,36	163,94	41,30	241,65	14,40	v344	FC
D	FA	5,27	3,92	0,25	1,54	15	35,8	3,22	0,33	3,01	0,35	0,28	0,35	15,26	14,27	158,68	164,52	39,72	242,08	14,40	v344	FC
D	FA	3,27	1,11	0,24	1,96	14	34,4	3,05	0,33	3,01	0,34	0,29	0,35	11,76	15,36	159,51	163,14	40,12	241,33	14,40	v344	FC
D	FA	2,84	2,83	0,25	2,24	14	32,8	4,35	0,34	3,00	0,35	0,31	0,34	13,07	10,75	159,32	164,66	39,09	240,38	14,41	v344	FC
D	FA	4,51	3,37	0,25	1,05	14	33,4	4,37	0,33	3,02	0,37	0,30	0,34	13,90	15,36	160,97	165,08	39,69	239,52	14,40	v344	FC
